,0
0,ingin tanya adu nomor tiket g pernah kirim tampil website ubah adu penyalahgunaan wewenang curang zonasi tempat asn menteri agama
1,anggar didik bos kemendikbud
2,surat adu posbakum agama
3,materi wabah masuk ajar alquran hadis akidah akhlak ajar agama
4,harap kunjung presideniden menteri agama bmq at tartil
5,luncur asrama bas pondok pesantren
6,soal transformasi iakn jadi ukn tarutung
7,lindung gereja
8,lindung aman upa surat rekomendasi
9,adu lapor usir ritual ibadah
10,cair dana tunjang didik guru swasta tpp tpg non pns cair tiap bulan cair dana bos madrasah tiap bulan sekali sblm semester
11,tindak lanjut kena berat tolak umat buddha tridharma hadap daftar mantra
12,henti tunjang khusus daerah
13,bijak posbakum adil agama
14,duga praktik nepotisme kolusi rekrut pramubakti rasa pegawai negeri ditjen bimas kristen menteri agama
15,lindung adil hadap pns
16,lapor berat bijak bupati sigi tidak laku ptdh sdr kaimudin ponulele spd
17,aspirasi gtkhnk kota sibolga
18,adu lapor kait ijazah sman jambi
19,formasi cpns
20,inpassing tara jabat fungsional dosen lektor harus iva aku iiid
21,wenang wenang tempat cpns
22,formasi cpns
23,adu duga gagal kasn awal sistem meritrokrasi duga praktik kolusi nepotisme laksana isi jpt pratama lingkung provinsiinsi banten
24,aju angkat sus jaga sekolah jadi pns yang abdi lama
25,duga atur nilai skb cpns kemendikbuddikti
26,apresideniasi aspirasi rakyat
27,formasi asn pppk guru paud
28,adu pns
29,panjang cuti praja
30,formasi cpns
31,revisi atur perintah nomor tentang manajemen pns
32,revisi atur perintah no tentang manajemen pns
33,aspirasi gtkhnk buton
34,adu mohon audiensi kait masalah lantik angkat bapakakhmad marjukie bagai wakil bupati bekas pilih masa sisa jabat
35,lindung hukum klien rina lauwy kosasih korban duga selingkuhp suami antoniuss kosasih dirut taspen
36,tindak tega hukum duga unsur suap kasus kosong eksekusi paksa surabaya libat oknum jabat negara
37,surat buka mosi percaya
38,nasib mahasiswa kuliah akreditasi prodi baikdalam syarat administrasi seleksi asn lembaga perintah
39,adu hadap nasib tugas bko nusakambangan
40,tipu oknum tni al
41,executive review upa batal cabut putus bupati sukabumi kep bkpsdm
42,lapor buat lawan hukum laku sdr freddy harris direktur jenderal kaya intelektual
43,selesai masalah tetap nip tindak lanjut usul nip kiswanto cpns
44,tipu oknum tni al
45,adu oknum anggota tni ad
46,adu oknum anggota tni al
47,sister akomodasi ubah sk inpassing
48,ketat seleksi jadi guru sekolah negeri swasta
49,lapor hadap pns nakal
50,komisi perintah kena butuh sumber daya
51,tanya adu kena pertamina
52,migas komisi komisi
53,menteri esdm duga usul presideniden angkat anggota komite bph migas tidak penuh syarat sesuai atur undang undang
54,usut rugi uang negara dbh pbb migas ta kapuas provinsiinsi kalteng
55,komisi yang migas
56,fasilitas realisasi rekomendasi pemkab barsel pt adaro indonesiaa bayar kompensasi kelompok desa rangga ilung
57,komisi yang migas
58,komisi yang migas
59,komisi yang migas
60,komisi yang migas
61,komisi yang migas
62,baleg komisi komisi
63,adu sekongkol rusa tambang milk masyarakat
64,komisi dan baleg
65,komisi yang migas
66,baleg komisi migas
67,surat aju tuntut adat masyarakat adat masyarakat warga suku besar sebyar teluk bintuni provinsiinsi papua barat
68,informasi klarifikasi tindaklanjut temu bahas berat buka hasil seleksi ketudan anggota komite bph migas surat undang kesdm no und kp sjn mohon batal surat panitia seleksi pm kp sjn hasil seleksi isi calon ketua anggota komite badan atur sedia penditribusian bahan bakar minyak giat gas bumi lalu pipa bph migas
69,baleg komisi komisi
70,bangun jalan pt epi lintas areal lahan kelompok tani sinar meriu abab
71,komisi serta baleg dpr
72,komisin dan baleg
73,lapor adu berat aktivitas tambang batu kapur batu trass prima karya manunggal anak cabang semen tonasa sulsel lokasi sertifikat shm shm kupa mallusetasi barru
74,komisi komisi baleg dpr
75,baleg komisi yang migas
76,baleg komisi yang migas
77,baleg dpr komisi komisi
78,adu minta kepala migas lanjut proses buat sertifikat
79,baleg komisi yang migas
80,komisi komisi bidang migas
81,komisi migas
82,hukum perkara no pdt sus pkpu niaga pst hadap camar resources canada inc pkpu selaku operator blok bawean kkks jamin cost recovery perintah
83,informasi klarifikasi tindaklanjut temu bahas berat buka hasil seleksi ketudan anggota komite bph migas surat undang kesdm no und kp sjn mohon batal surat panitia seleksi pm kp sjn hasil seleksi isi calon ketua anggota komite badan atur sedia penditribusian bahan bakar minyak giat gas bumi lalu pipa bph migas
84,komisi komisi baleg
85,sikap tuntut masyarakat pulau tanimbar hadap distribusi manfaat industri migas wilayah kerja blok masela provinsiinsi malu
86,komisi bidang migas
87,hukum perkara no pdt sus pkpu niaga pst hadap camar resources canada inc pkpu selaku operator blok bawean kkks jamin cost recovery perintah
88,petisi tolak masyarakat hadap rencana usaha tambang eksplorasi pt gunung makmur indah desa kasiieh camat taniwel seram barat malu
89,komisi yang migas
90,pemberitahuan portal tutup lahan sengketa
91,masalah nuklir ruu ebt bertenatangan uu ketenagakerjaan
92,komisi komisi baleg
93,baleg komisi komisi
94,berantas sarang nyamuk malaria covid daerah batas
95,komisi yang migas
96,lindung adu tindak skk migas tidak patuh hukum
97,komisi komisi baleg
98,baleg dpr komisi komisi dpr
99,langgar serius praktik kerja paksa hadap abk labuh muara baru
100,lapor kasus tangkap wenang wenang polres manggarai barat
101,langgar serius praktik kerja paksa hadap abk labuh muara baru
102,lapor duga langgar hukum hak asasi manusia rekayasaa kasus
103,perhati kasus kemanusian
104,lapor langgar
105,darurat lindung tega hukum adil
106,ruu pas
107,temu bapak pangeran khairul saleh wakil ketua komisi
